title,rating,key,added_at,release_date,local_file_size,remote_file_size,largest_file_size,server,number_of_local_episodes,number_of_remote_episodes
Altered Carbon,7.7,/library/metadata/310741,2024-03-08,2018-02-02,9.01 Go,17.24 Go,17.24 Go,Friend,8,18
American Horror Story,8.1,/library/metadata/311064,2024-03-08,2011-10-05,122.62 Go,114.76 Go,122.62 Go,Mine,129,123
Being Human,7.1,/library/metadata/313079,2024-03-08,2011-01-17,16.15 Go,13.18 Go,16.15 Go,Mine,39,39
The Big Bang Theory,7.9,/library/metadata/26201,2020-02-24,2006-05-01,108.20 Go,62.22 Go,108.20 Go,Mine,279,254
Buffy contre les vampires,8.2,/library/metadata/313282,2024-03-08,1997-03-07,78.11 Go,97.95 Go,97.95 Go,Friend,143,144
D'argent et de sang,8.2,/library/metadata/311690,2024-03-08,2023-10-16,31.04 Go,15.52 Go,31.04 Go,Mine,12,12
Daredevil,8.2,/library/metadata/107589,2022-03-23,2015-04-10,39.59 Go,38.84 Go,39.59 Go,Mine,39,26
The Defenders,7.1,/library/metadata/227637,2022-06-05,2017-08-18,47.30 Go,15.06 Go,47.30 Go,Mine,8,8
Elementary,7.6,/library/metadata/24063,2020-03-12,2012-09-27,9.74 Go,142.34 Go,142.34 Go,Friend,13,154
The Essex Serpent,7.0,/library/metadata/307295,2023-11-26,2022-05-13,4.05 Go,7.71 Go,7.71 Go,Friend,1,6
Fear the Walking Dead,7.7,/library/metadata/23059,2020-03-19,2015-08-23,60.13 Go,40.87 Go,60.13 Go,Mine,27,53
For All Mankind,7.7,/library/metadata/93350,2021-11-10,2019-11-01,66.51 Go,23.52 Go,66.51 Go,Mine,40,30
Foundation,7.9,/library/metadata/292086,2023-01-08,2021-09-24,29.46 Go,12.80 Go,29.46 Go,Mine,20,10
From,8.2,/library/metadata/290365,2022-11-13,2022-02-20,16.46 Go,7.06 Go,16.46 Go,Mine,14,10
Furies,5.5,/library/metadata/310501,2024-03-04,2024-03-01,6.65 Go,6.65 Go,6.65 Go,BOTH,8,8
Gotham,7.6,/library/metadata/107662,2022-03-23,2014-09-22,89.84 Go,89.08 Go,89.84 Go,Mine,100,101
Griselda,7.8,/library/metadata/309715,2024-01-31,2024-01-25,7.26 Go,7.26 Go,7.26 Go,BOTH,6,6
Halo,8.4,/library/metadata/225685,2022-04-28,2022-03-24,22.50 Go,22.60 Go,22.60 Go,Friend,17,17
The Handmaid's Tale : La Servante écarlate,8.2,/library/metadata/263769,2023-08-14,2017-04-25,47.88 Go,16.77 Go,47.88 Go,Mine,17,10
House of Cards,8.0,/library/metadata/304032,2023-09-19,2013-02-01,41.52 Go,28.49 Go,41.52 Go,Mine,73,52
House of the Dragon,8.5,/library/metadata/235683,2022-08-22,2022-08-21,35.92 Go,9.87 Go,35.92 Go,Mine,16,10
The Idol,10.0,/library/metadata/299309,2023-06-05,2023-06-04,14.37 Go,14.37 Go,14.37 Go,BOTH,5,5
Katy Keene,8.3,/library/metadata/235236,2022-08-06,2020-02-06,12.59 Go,4.41 Go,12.59 Go,Mine,13,13
Le Problème à 3 corps,9.2,/library/metadata/313767,2024-03-21,2024-03-21,20.87 Go,20.87 Go,20.87 Go,BOTH,8,8
Legion,7.6,/library/metadata/107006,2022-03-23,2017-02-08,32.71 Go,10.99 Go,32.71 Go,Mine,27,8
The Magicians,7.6,/library/metadata/87558,2021-10-17,2015-12-16,78.77 Go,22.87 Go,78.77 Go,Mine,62,32
Mal & Fils,7.8,/library/metadata/303608,2023-08-27,2022-10-28,9.09 Go,10.47 Go,10.47 Go,Friend,8,8
Mars,7.0,/library/metadata/306760,2023-11-22,2016-11-13,17.51 Go,5.42 Go,17.51 Go,Mine,12,6
Marvel : Les Agents du S.H.I.E.L.D.,7.5,/library/metadata/106166,2022-03-23,2013-09-24,111.83 Go,102.65 Go,111.83 Go,Mine,136,123
Perdus dans l'espace,7.6,/library/metadata/95379,2022-01-22,2018-04-13,7.59 Go,8.11 Go,8.11 Go,Friend,10,10
Person of Interest,8.1,/library/metadata/306248,2023-11-03,2011-09-22,67.48 Go,49.88 Go,67.48 Go,Mine,103,103
The Punisher,8.1,/library/metadata/293188,2023-01-31,2017-11-17,20.34 Go,10.13 Go,20.34 Go,Mine,25,13
Roswell,7.8,/library/metadata/303079,2023-08-19,1999-10-04,43.71 Go,20.08 Go,43.71 Go,Mine,61,59
See,8.2,/library/metadata/84403,2021-09-12,2019-11-01,31.55 Go,9.54 Go,31.55 Go,Mine,10,8
Shameless,8.1,/library/metadata/94699,2021-11-12,2011-01-09,143.52 Go,119.76 Go,143.52 Go,Mine,134,134
Sherlock,8.5,/library/metadata/26138,2021-08-12,2010-07-25,19.31 Go,6.18 Go,19.31 Go,Mine,13,9
Snowfall,8.5,/library/metadata/299750,2023-06-22,2017-07-05,25.03 Go,38.47 Go,38.47 Go,Friend,10,60
Star Trek : Discovery,7.2,/library/metadata/23899,2020-03-12,2017-09-24,78.00 Go,9.55 Go,78.00 Go,Mine,65,7
Stargate : Atlantis,8.0,/library/metadata/25921,2020-12-29,2004-07-16,106.35 Go,100.71 Go,106.35 Go,Mine,100,100
Supernatural,8.3,/library/metadata/80821,2021-08-24,2005-09-13,229.03 Go,229.03 Go,229.03 Go,BOTH,327,327
Terminator : Les Chroniques de Sarah Connor,7.5,/library/metadata/302564,2023-08-15,2008-01-13,32.81 Go,11.59 Go,32.81 Go,Mine,29,31
True Detective,8.3,/library/metadata/26968,2020-10-05,2014-01-12,36.77 Go,3.59 Go,36.77 Go,Mine,30,8
The Walking Dead,8.1,/library/metadata/10646,2020-02-25,2010-10-31,164.29 Go,156.59 Go,164.29 Go,Mine,111,131
The Walking Dead : The Ones Who Live,8.6,/library/metadata/310366,2024-03-01,2024-02-25,10.02 Go,10.21 Go,10.21 Go,Friend,6,6
Westworld,8.1,/library/metadata/11380,2021-02-15,2016-10-01,63.59 Go,29.77 Go,63.59 Go,Mine,36,20
